2025-01-30 13:38:02.508053 | 1070 | Jr. Deluxe Cheeseburger | 1.99
2025-01-30 13:38:02.508053 | 1070 | Small BARQ’S® Root Beer Float | 4.29
2025-01-30 13:38:04.280722 | 1071 | Small Coca-Cola® Float | 4.29
2025-01-30 13:38:04.280722 | 1071 | Small Fanta® Orange Float | 4.29
2025-01-30 13:38:04.280722 | 1071 | Small Dr Pepper® Float | 4.29
2025-01-30 13:38:04.280722 | 1071 | Jr. Deluxe Cheeseburger | 1.99
2025-01-30 13:38:04.280722 | 1071 | Small BARQ’S® Root Beer Float | 4.29
2025-01-30 13:38:05.893020 | 1073 | Small Coca-Cola® Float | 4.79
2025-01-30 13:38:05.893020 | 1073 | Small Fanta® Orange Float | 4.79
2025-01-30 13:38:05.893020 | 1073 | Small Dr Pepper® Float | 4.79
2025-01-30 13:38:05.893020 | 1073 | Jr. Deluxe Cheeseburger | 3.59
2025-01-30 13:38:05.893020 | 1073 | Small BARQ’S® Root Beer Float | 4.79
2025-01-30 13:38:07.506671 | 1074 | Small Coca-Cola® Float | 4.29
2025-01-30 13:38:07.506671 | 1074 | Small Fanta® Orange Float | 4.29
2025-01-30 13:38:07.506671 | 1074 | Small Dr Pepper® Float | 4.29
2025-01-30 13:38:07.506671 | 1074 | Jr. Deluxe Cheeseburger | 1.99
2025-01-30 13:38:07.506671 | 1074 | Small BARQ’S® Root Beer Float | 4.29
2025-01-30 13:38:09.667244 | 1075 | Small Coca-Cola® Float | 3.59
2025-01-30 13:38:09.667244 | 1075 | Small Fanta® Orange Float | 3.59
2025-01-30 13:38:09.667244 | 1075 | Small Dr Pepper® Float | 3.59
2025-01-30 13:38:09.667244 | 1075 | Jr. Deluxe Cheeseburger | 2.19
2025-01-30 13:38:09.667244 | 1075 | Small BARQ’S® Root Beer Float | 3.59
2025-01-30 13:38:11.645486 | 1076 | Small Coca-Cola® Float | 4.99
2025-01-30 13:38:11.645486 | 1076 | Small Fanta® Orange Float | 4.99
2025-01-30 13:38:11.645486 | 1076 | Small Dr Pepper® Float | 4.99
2025-01-30 13:38:11.645486 | 1076 | Jr. Deluxe Cheeseburger | 1.99
2025-01-30 13:38:11.645486 | 1076 | Small BARQ’S® Root Beer Float | 4.99
2025-01-30 13:38:13.114620 | 1077 | Small Coca-Cola® Float | 4.79
2025-01-30 13:38:13.114620 | 1077 | Small Fanta® Orange Float | 4.79
2025-01-30 13:38:13.114620 | 1077 | Small Dr Pepper® Float | 4.79
2025-01-30 13:38:13.114620 | 1077 | Jr. Deluxe Cheeseburger | 3.59
2025-01-30 13:38:13.114620 | 1077 | Small BARQ’S® Root Beer Float | 4.79
2025-01-30 13:38:14.850573 | 1078 | Small Coca-Cola® Float | 4.29
2025-01-30 13:38:14.850573 | 1078 | Small Fanta® Orange Float | 4.29
